02-04-2026 07:39:37 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:39 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:39 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:39 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:39 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:40 | DELETE | cafeteria-api/backend/categorias/18
02-04-2026 07:39:40 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:41 | DELETE | cafeteria-api/backend/categorias/9
02-04-2026 07:39:41 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:41 | DELETE | cafeteria-api/backend/categorias/8
02-04-2026 07:39:41 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:42 | DELETE | cafeteria-api/backend/categorias/7
02-04-2026 07:39:42 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:42 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:43 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:43 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:43 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:43 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:44 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:45 | GET | cafeteria-api/backend/produtos
02-04-2026 07:39:45 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:45 | GET | cafeteria-api/backend/produtos
02-04-2026 07:39:46 | DELETE | cafeteria-api/backend/produtos/6
02-04-2026 07:39:46 | GET | cafeteria-api/backend/produtos
02-04-2026 07:39:47 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:48 | DELETE | cafeteria-api/backend/categorias/6
02-04-2026 07:39:48 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:56 | POST | cafeteria-api/backend/categorias
02-04-2026 07:39:56 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:57 | GET | cafeteria-api/backend/categorias
02-04-2026 07:39:57 | GET | cafeteria-api/backend/produtos
02-04-2026 07:39:57 | GET | cafeteria-api/backend/produtos
02-04-2026 07:40:03 | POST | cafeteria-api/backend/produtos
02-04-2026 07:40:03 | GET | cafeteria-api/backend/produtos
02-04-2026 07:40:06 | DELETE | cafeteria-api/backend/produtos/7
02-04-2026 07:40:06 | GET | cafeteria-api/backend/produtos
02-04-2026 07:40:07 | GET | cafeteria-api/backend/categorias
02-04-2026 07:40:08 | DELETE | cafeteria-api/backend/categorias/21
02-04-2026 07:40:08 | GET | cafeteria-api/backend/categorias
02-04-2026 07:40:29 | GET | cafeteria-api/backend/categorias
02-04-2026 07:40:30 | GET | cafeteria-api/backend/produtos
02-04-2026 07:40:30 | GET | cafeteria-api/backend/categorias
02-04-2026 07:40:30 | GET | cafeteria-api/backend/produtos
